areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate
E92000001,England,nation,2021-12-28,10545584,117093
E92000001,England,nation,2021-12-27,10429274,98515
E92000001,England,nation,2021-12-26,10332128,103558
E92000001,England,nation,2021-12-25,10229538,113628
E92000001,England,nation,2021-12-24,10115910,105069
E92000001,England,nation,2021-12-23,10011650,107055
E92000001,England,nation,2021-12-22,9905451,95795
E92000001,England,nation,2021-12-21,9810446,80916
E92000001,England,nation,2021-12-20,9731126,76065
E92000001,England,nation,2021-12-19,9655061,71702
E92000001,England,nation,2021-12-18,9584269,82426
E92000001,England,nation,2021-12-17,9503176,83693
E92000001,England,nation,2021-12-16,9420017,77299
E92000001,England,nation,2021-12-15,9343520,68868
E92000001,England,nation,2021-12-14,9275513,53093
E92000001,England,nation,2021-12-13,9222932,44931
E92000001,England,nation,2021-12-12,9178705,40713
E92000001,England,nation,2021-12-11,9138773,48540
E92000001,England,nation,2021-12-10,9092016,48908
E92000001,England,nation,2021-12-09,9043108,43550
E92000001,England,nation,2021-12-08,9000391,44019
E92000001,England,nation,2021-12-07,8957091,38866
E92000001,England,nation,2021-12-06,8918807,41525
E92000001,England,nation,2021-12-05,8877883,37396
E92000001,England,nation,2021-12-04,8841194,39949
E92000001,England,nation,2021-12-03,8802632,43888
E92000001,England,nation,2021-12-02,8758744,45880
E92000001,England,nation,2021-12-01,8713738,41519
E92000001,England,nation,2021-11-30,8673344,33590
E92000001,England,nation,2021-11-29,8639754,34906
E92000001,England,nation,2021-11-28,8605284,32136
E92000001,England,nation,2021-11-27,8574315,35798
E92000001,England,nation,2021-11-26,8538517,42272
E92000001,England,nation,2021-11-25,8496990,40382
E92000001,England,nation,2021-11-24,8457187,36511
E92000001,England,nation,2021-11-23,8421911,36550
E92000001,England,nation,2021-11-22,8385361,36478
E92000001,England,nation,2021-11-21,8349363,33513
E92000001,England,nation,2021-11-20,8316395,36339
E92000001,England,nation,2021-11-19,8281117,37006
E92000001,England,nation,2021-11-18,8244111,39315
E92000001,England,nation,2021-11-17,8205448,30638
E92000001,England,nation,2021-11-16,8175202,30853
E92000001,England,nation,2021-11-15,8144766,31440
E92000001,England,nation,2021-11-14,8113757,29404
E92000001,England,nation,2021-11-13,8084740,33493
E92000001,England,nation,2021-11-12,8051924,33155
E92000001,England,nation,2021-11-11,8020241,35472
E92000001,England,nation,2021-11-10,7984769,31541
E92000001,England,nation,2021-11-09,7953228,27872
E92000001,England,nation,2021-11-08,7925681,24979
E92000001,England,nation,2021-11-07,7901039,23779
E92000001,England,nation,2021-11-06,7877720,26250
E92000001,England,nation,2021-11-05,7852005,28490
E92000001,England,nation,2021-11-04,7823979,30166
E92000001,England,nation,2021-11-03,7794507,34317
E92000001,England,nation,2021-11-02,7760671,28531
E92000001,England,nation,2021-11-01,7732441,32081
E92000001,England,nation,2021-10-31,7700753,31479
E92000001,England,nation,2021-10-30,7669614,36204
E92000001,England,nation,2021-10-29,7633950,36853
E92000001,England,nation,2021-10-28,7597473,33903
E92000001,England,nation,2021-10-27,7564400,37502
E92000001,England,nation,2021-10-26,7526898,32280
E92000001,England,nation,2021-10-25,7494992,33309
E92000001,England,nation,2021-10-24,7462144,33221
E92000001,England,nation,2021-10-23,7430143,41259
E92000001,England,nation,2021-10-22,7388884,41745
E92000001,England,nation,2021-10-21,7347703,44363
E92000001,England,nation,2021-10-20,7303864,41498
E92000001,England,nation,2021-10-19,7262958,36712
E92000001,England,nation,2021-10-18,7226658,39473
