date,cumDeath
2021-08-26,10863
2021-08-27,10870
2021-08-28,10878
2021-08-29,10883
2021-08-30,10895
2021-08-31,10899
2021-09-01,10907
2021-09-02,10911
2021-09-03,10918
2021-09-04,10920
2021-09-05,10927
2021-09-06,10930
2021-09-07,10927
2021-09-08,10940
2021-09-09,10945
2021-09-10,10952
2021-09-11,10951
2021-09-12,10952
2021-09-13,10967
2021-09-14,10974
2021-09-15,10980
2021-09-16,10991
2021-09-17,10999
2021-09-18,10999
2021-09-19,11000
2021-09-20,11015
2021-09-21,11021
2021-09-22,11027
2021-09-23,11034
2021-09-24,11042
2021-09-25,11043
2021-09-26,11043
2021-09-27,11060
2021-09-28,11073
2021-09-29,11079
2021-09-30,11087
2021-10-01,11093
2021-10-02,11093
2021-10-03,11093
2021-10-04,11103
2021-10-05,11107
2021-10-06,11125
2021-10-07,11118
2021-10-08,11120
2021-10-09,11120
2021-10-10,11120
2021-10-11,11133
2021-10-12,11140
2021-10-13,11146
2021-10-14,11152
2021-10-15,11158
2021-10-16,11157
2021-10-17,11156
2021-10-18,11162
2021-10-19,11168
2021-10-20,11173
2021-10-21,11178
2021-10-22,11182
2021-10-23,11181
2021-10-24,11182
2021-10-25,11193
2021-10-26,11204
2021-10-27,11207
2021-10-28,11219
2021-10-29,11233
2021-10-30,11233
2021-10-31,11234
2021-11-01,11242
2021-11-02,11259
2021-11-03,11261
2021-11-04,11265
2021-11-05,11273
2021-11-06,11274
2021-11-07,11274
2021-11-08,11282
2021-11-09,11295
2021-11-10,11306
2021-11-11,11309
2021-11-12,11325
2021-11-13,11325
2021-11-14,11326
2021-11-15,11347
2021-11-16,11353
2021-11-17,11356
2021-11-18,11364
2021-11-19,11377
2021-11-20,11382
2021-11-21,11382
2021-11-22,11407
2021-11-23,11416
2021-11-24,11435
2021-11-25,11455
2021-11-26,11470
2021-11-27,11470
2021-11-28,11471
2021-11-29,11500
2021-11-30,11522
2021-12-01,11548
2021-12-02,11566
2021-12-03,11591
2021-12-04,11589
2021-12-05,11591
2021-12-06,11625
2021-12-07,11661
2021-12-08,11684
2021-12-09,11716
2021-12-10,11746
2021-12-11,11748
2021-12-12,11749
2021-12-13,11793
2021-12-14,11824
2021-12-15,11854
2021-12-16,11879
2021-12-17,11910
2021-12-18,11909
2021-12-19,11913
2021-12-20,11953
2021-12-21,11981
2021-12-22,12002
2021-12-23,12057
2021-12-24,12065
2021-12-25,12064
2021-12-26,12065
2021-12-27,12114
2021-12-28,12152
2021-12-29,12172
2021-12-30,12206
2021-12-31,12217
2022-01-01,12220
2022-01-02,12227
2022-01-03,12268
2022-01-04,12229
2022-01-05,12303
2022-01-06,12325
2022-01-07,12339
2022-01-08,12337
2022-01-09,12349
2022-01-10,12387
2022-01-11,12409
2022-01-12,12427
2022-01-13,12447
2022-01-14,12464
2022-01-15,12469
2022-01-16,12469
2022-01-17,12515
2022-01-18,12529
2022-01-19,12544
2022-01-20,12569
2022-01-21,12579
2022-01-22,12582
2022-01-23,12586
2022-01-24,12621
2022-01-25,12635
2022-01-26,12649
2022-01-27,12666
2022-01-28,12679
2022-01-29,12680
2022-01-30,12684
2022-01-31,12708
2022-02-01,12723
2022-02-02,12749
2022-02-03,12768
2022-02-04,12779
2022-02-05,12782
2022-02-06,12786
2022-02-07,12808
2022-02-08,12865
2022-02-09,12890
2022-02-10,12915
2022-02-11,12932
2022-02-12,12933
2022-02-13,12936
2022-02-14,12963
2022-02-15,12975
2022-02-16,12979
2022-02-17,13003
2022-02-18,13012
2022-02-19,13016
2022-02-20,13016
2022-02-21,13032
2022-02-22,13044
2022-02-23,13062
2022-02-24,13073
2022-02-25,13082
2022-02-26,13082
2022-02-27,13080
2022-02-28,13101
2022-03-01,13110
2022-03-02,13119
2022-03-03,13131
2022-03-04,13173
2022-03-05,13174
2022-03-06,13173
2022-03-07,13193
2022-03-08,13203
2022-03-09,13213
2022-03-10,13231
2022-03-11,13265
2022-03-12,13266
2022-03-13,13266
2022-03-14,13286
2022-03-15,13294
2022-03-16,13312
2022-03-17,13322
2022-03-18,13328
2022-03-19,13328
2022-03-20,13423
2022-03-21,13445
2022-03-22,13456
2022-03-23,13483
2022-03-24,13498
2022-03-25,13507
2022-03-26,13507
2022-03-27,13507
2022-03-28,13524
2022-03-29,13534
2022-03-30,13558
2022-03-31,13564
2022-04-01,13570
2022-04-02,13572
2022-04-03,13573
2022-04-04,13582
2022-04-05,13588
2022-04-06,13600
2022-04-07,13604
2022-04-08,13607
2022-04-09,13607
2022-04-10,13607
2022-04-11,13616
2022-04-12,13620
2022-04-13,13620
2022-04-14,13645
2022-04-15,13647
2022-04-16,13647
2022-04-17,13647
2022-04-18,13647
2022-04-19,13664
2022-04-20,13669
